"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","INWARD","MLN_USD","A","2005",-24797.379646557,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2006",30372.240223043,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2007",44657.797858099,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2008",46963.674321503,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2009",27417.719544533,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2010",35174.279948633,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2011",65324.394017535,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2012",57424.430641822,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2013",54854.303357777,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2014",63686.677483324,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2015",46857.014050642,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2016",43013.454248123,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2017",48124.760518047,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2018",60269.664599985,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2019",38647.390004865,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2020",16227.726178191,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2021",28346.226060834,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2022",68629.490914135,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2005",-32266.910420475,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2006",24061.487453847,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2007",15077.81124498,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2008",30526.096033403,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2009",11933.395726096,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2010",18182.902219776,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2011",8111.3976276431,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2012",5751.5527950311,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2013",-440.94944037051,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2014",23364.881918154,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2015",7933.7290555263,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2016",-3081.0971530514,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2017",9813.0124913786,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2018",538.58220661836,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2019",8834.3643567109,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2020",7675.9545923633,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2021",7595.9444235824,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2022",121860.868359,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2005",-3.2507136131406,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2006",3.7061581412252,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2007",4.5260711266813,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2008",4.4391346710224,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2009",2.6958768084902,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2010",2.7034329765958,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2011",4.2214778778313,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2012",3.6095442413714,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2013",3.5543950426252,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2014",4.3523343802755,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2015",3.7628648268604,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2016",3.2898214054282,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2017",3.4076836740406,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2018",4.1438977071051,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2019",2.8085545413699,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2020",1.1334383705669,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2021",1.6342291577822,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2022",3.8303307132033,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2005",-4.2299019675811,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2006",2.9360915415586,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2007",1.5281372885044,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2008",2.8854099094796,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.1733639893816,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2010",1.3975057213096,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2011",0.52418527807846,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2012",0.36152703715495,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2013",-0.02857220690014,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2014",1.5967512026371,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2015",0.63712019670343,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2016",-0.23565322858846,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.69485317121708,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.03703072824291,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.64200439230264,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.53613311995654,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2021",0.43792474635851,
