"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.639948479144,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8044537230341,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1308711360899,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.1291209701468,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2586485158936,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.5012237846139,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.0006028918017,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6067695939386,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.288721779185,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4123555106528,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.8873049003006,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5189386831346,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.5730576732203,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5572756287263,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2224038726937,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",14.972763898845,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4578439897609,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9533169835969,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.117778833752,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1150866702084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.0288066339049,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6585946119625,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.539918193872,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",17.9723581312914,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.870669522392,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.8901429006237,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.127482417612,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5575656778223,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.2947441891133,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.3902280759468,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.1523263999819,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.7266612553969,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.0572127285496,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.1624682179729,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.224372786193,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.8535392187758,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.1835039296691,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1488773165122,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0109850559796,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.7953665378444,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4357865324171,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.4913928888391,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9741128950954,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0823313194078,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",20.0581264737037,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",19.2622259086547,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2016",21.228525081023,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2017",21.853558200255,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2018",24.1117883614814,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2019",23.9673727374511,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2020",21.9768193897174,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2021",25.4271241344048,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2022",26.7219864846082,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9148915089666,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",11.9536669135969,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0016057808109,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.1937311553626,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7119500385938,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.3620482795028,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6305208777273,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1977",14.5709988768109,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1978",15.3354498067385,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1979",15.8863994294714,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.7165491802203,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8062687297065,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6024961459675,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",14.9836676244583,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1984",17.2670332703454,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1985",18.0367773616441,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1986",17.0537762831191,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1987",16.6126468087204,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1988",16.9476613943385,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1989",17.0382633835357,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1990",16.1612343223675,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1991",16.3866648081253,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1992",17.8602542428206,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1993",18.4869195111131,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1994",19.8333756851926,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3429104541098,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.8533498603289,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4351367863689,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.7350512297224,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.5449829026037,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",22.0663780990158,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.7224309468224,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.1443541839952,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.8471453750713,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",20.9363741866049,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.7059079518,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.8245161029657,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.6978990852209,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.7298779728897,
